Year,Month,Day,Max Temp (F),Min Temp (F),Precipitation (in),Max Temp (C),Min Temp (C)
1990,5,16,69,63,0.0,20.555555555555557,17.22222222222222
1990,5,17,65,52,0.22,18.333333333333332,11.11111111111111
1990,5,18,60,51,0.0,15.555555555555555,10.555555555555555
1990,5,19,61,41,0.0,16.11111111111111,5.0
1990,5,20,61,51,0.0,16.11111111111111,10.555555555555555
1990,5,21,58,39,0.0,14.444444444444445,3.888888888888889
1990,5,22,58,47,0.0,14.444444444444445,8.333333333333334
1990,5,23,62,49,0.0,16.666666666666668,9.444444444444445
1990,5,24,61,51,0.0,16.11111111111111,10.555555555555555
1990,5,25,63,48,0.06,17.22222222222222,8.88888888888889
1990,5,26,60,45,0.0,15.555555555555555,7.222222222222222
1990,5,27,64,43,0.0,17.77777777777778,6.111111111111111
1990,5,28,65,45,0.0,18.333333333333332,7.222222222222222
1990,5,29,65,41,0.0,18.333333333333332,5.0
1990,5,30,67,53,0.0,19.444444444444443,11.666666666666666
1990,5,31,63,53,0.07,17.22222222222222,11.666666666666666
1990,6,1,62,49,0.07,16.666666666666668,9.444444444444445
1990,6,2,62,50,0.03,16.666666666666668,10.0
1990,6,3,61,50,0.09,16.11111111111111,10.0
1990,6,4,61,42,0.07,16.11111111111111,5.555555555555555
1990,6,5,62,43,0.0,16.666666666666668,6.111111111111111
1990,6,6,67,37,0.0,19.444444444444443,2.7777777777777777
1990,6,7,67,44,0.0,19.444444444444443,6.666666666666667
1990,6,8,70,48,0.0,21.11111111111111,8.88888888888889
1990,6,9,68,58,0.0,20.0,14.444444444444445
1990,6,10,69,45,0.0,20.555555555555557,7.222222222222222
1990,6,11,72,54,0.0,22.22222222222222,12.222222222222221
1990,6,12,66,57,0.13,18.88888888888889,13.88888888888889
1990,6,13,60,45,0.11,15.555555555555555,7.222222222222222
1990,6,14,64,40,0.0,17.77777777777778,4.444444444444445
1990,6,15,66,51,0.0,18.88888888888889,10.555555555555555
1990,6,16,59,52,0.54,15.0,11.11111111111111
1990,6,17,57,47,0.08,13.88888888888889,8.333333333333334
1990,6,18,57,40,0.0,13.88888888888889,4.444444444444445
1990,6,19,57,37,0.0,13.88888888888889,2.7777777777777777
1990,6,20,58,36,0.0,14.444444444444445,2.2222222222222223
1990,6,21,58,40,0.0,14.444444444444445,4.444444444444445
1990,6,22,61,48,0.0,16.11111111111111,8.88888888888889
1990,6,23,59,45,0.0,15.0,7.222222222222222
1990,6,24,52,43,0.09,11.11111111111111,6.111111111111111
1990,6,25,56,42,0.47,13.333333333333334,5.555555555555555
1990,6,26,55,49,0.43,12.777777777777779,9.444444444444445
1990,6,27,53,46,0.56,11.666666666666666,7.777777777777778
1990,6,28,59,45,0.07,15.0,7.222222222222222
1990,6,29,57,51,0.02,13.88888888888889,10.555555555555555
1990,6,30,59,48,0.0,15.0,8.88888888888889
1990,7,1,54,45,0.15,12.222222222222221,7.222222222222222
1990,7,2,55,46,0.29,12.777777777777779,7.777777777777778
1990,7,3,58,40,0.5,14.444444444444445,4.444444444444445
1990,7,4,59,45,0.04,15.0,7.222222222222222
1990,7,5,53,50,0.39,11.666666666666666,10.0
1990,7,6,58,45,0.28,14.444444444444445,7.222222222222222
1990,7,7,58,51,0.17,14.444444444444445,10.555555555555555
1990,7,8,56,51,0.06,13.333333333333334,10.555555555555555
1990,7,9,57,48,0.0,13.88888888888889,8.88888888888889
1990,7,10,64,48,0.04,17.77777777777778,8.88888888888889
1990,7,11,60,50,0.0,15.555555555555555,10.0
1990,7,12,55,51,0.5,12.777777777777779,10.555555555555555
1990,7,13,61,48,0.01,16.11111111111111,8.88888888888889
1990,7,14,60,52,0.16,15.555555555555555,11.11111111111111
1990,7,15,65,41,0.0,18.333333333333332,5.0
1990,7,16,67,49,0.0,19.444444444444443,9.444444444444445
1990,7,17,65,55,0.1,18.333333333333332,12.777777777777779
1990,7,18,58,50,0.2,14.444444444444445,10.0
1990,7,19,59,52,0.0,15.0,11.11111111111111
1990,7,20,58,44,0.02,14.444444444444445,6.666666666666667
1990,7,21,60,50,0.28,15.555555555555555,10.0
1990,7,22,63,53,0.0,17.22222222222222,11.666666666666666
1990,7,23,65,49,0.0,18.333333333333332,9.444444444444445
1990,7,24,59,51,0.01,15.0,10.555555555555555
1990,7,25,57,48,0.05,13.88888888888889,8.88888888888889
1990,7,26,55,42,0.06,12.777777777777779,5.555555555555555
1990,7,27,56,40,0.02,13.333333333333334,4.444444444444445
1990,7,28,56,43,0.18,13.333333333333334,6.111111111111111
1990,7,29,57,41,0.02,13.88888888888889,5.0
1990,7,30,59,39,0.0,15.0,3.888888888888889
1990,7,31,58,36,0.0,14.444444444444445,2.2222222222222223
1990,8,1,58,40,0.0,14.444444444444445,4.444444444444445
1990,8,2,60,43,0.0,15.555555555555555,6.111111111111111
1990,8,3,54,44,0.0,12.222222222222221,6.666666666666667
1990,8,4,62,47,0.24,16.666666666666668,8.333333333333334
1990,8,5,57,51,0.05,13.88888888888889,10.555555555555555
1990,8,6,57,50,0.06,13.88888888888889,10.0
1990,8,7,54,46,0.04,12.222222222222221,7.777777777777778
